#	core	next	experiment
1	2051.243615750783	2222.616487525073	3393.6584233182202
2	3451.228421616363	3720.201674090764	2264.217161067911
4	5044.439794897748	6188.555620127136	2730.067057272104
8	5425.789856365947	7022.693031026629	5055.047692202832
16	7307.434050893403	7713.141954277746	9333.800023334528
32	7690.571722494583	8683.657085999776	7674.880264488132
64	7597.491245078477	9212.079339033213	7780.005487200079
128	8023.289827415619	10146.500002477003	9124.46338333837
256	8369.676566688875	9568.16529379309	12643.53623904167
512	8180.195977204982	9261.50686210459	11420.752892580838
1024	7515.731235702402	10853.216999347374	10106.967046253589
2048	8131.848715054645	9810.026536888543	12572.516037938532
4096	6780.053796813669	6664.852252794906	12064.173391075397
8192	8174.61259900186	5797.4372130226675	10315.657926744821
16384	6941.508188618227	5466.029346641119	11130.382272879544
32768	6790.645257744937	4967.9703543311025	11666.50348467704
65536	6701.325567264503	5068.397178169044	11105.327529372851
131072	6794.659416867353	5087.974309433759	12063.535210778116
262144	8145.2204586239095	4599.214679257774	11234.308196409165
524288	7702.80824535522	3626.383355466956	14312.377965371608
1048576	7430.122232063794	4214.190967853055	9296.106290928776
